APP_NAME,USER,DATE,STAR,LIKE,COMMENT,OS
YouTube,노신호,2022-03-27 05:44:32+09:00,5,0,광우스님이 강의 하신 모든 유트브가 쵝오 입니다  대단히 감사합니다 ^^,ios
YouTube,다히트,2022-03-27 01:19:43+09:00,1,0,유튜브 메인탭에 쇼츠 뜨는거 안뜨게 해주세요 너무 보기싫어요,ios
YouTube,wkdsosgo,2022-03-27 01:08:23+09:00,5,0,백그라운드 재생을 항상 사용하지 않기 설정을 해도 계속 백그라운드 재생이 되는 문제가 있습니다ㅜㅠ 폰을 껏대 키거나 앱을 다시 다운로드 받아도 동일한 문제가 있네요ㅜㅜ 너무 불편해요,ios
YouTube,씨는호,2022-03-26 23:46:47+09:00,5,0,유투브는 너무 잼있음 그중에서 가장재미있는 것은 ~ ~ ~ ~ ~  전부다 재미 있음,ios
YouTube,김치쟁이,2022-03-26 23:28:44+09:00,5,0,조타,ios
YouTube,a b c 꺅,2022-03-26 22:44:26+09:00,5,0,"The version history is sooooo boring….. lot better than ordinary apps, buutt…. yup MAKE IT MORE COLORFUL!",ios
YouTube,psasts,2022-03-26 21:50:10+09:00,4,0,검색하고 나선 그다음 부터 검색이 안되는 버그가 있습니다,ios
YouTube,illlili!il,2022-03-26 21:45:41+09:00,2,0,핸드폰 기기가 다크모드면 유튜브도 따라서 다크모드로 됐음 좋겠어요 제발 유튜브 설정 들어가서 매번 바꾸는거 너무 불편하고 짜증나요,ios
YouTube,ヲヲヲヲヲㅋㅋㅋㅋ,2022-03-26 20:06:20+09:00,1,0,광고가 ㅋㅋㅋㅋㅋㅋㅋㅋ 하 ㅋㅋㅋㅋㅋㅋㅋ 적당히 나올것이지,ios
YouTube,요랭아,2022-03-26 16:59:40+09:00,5,0,별다른 취미가 없는 저에게 유튜브는 신세계 입니다^^,ios
YouTube,고요한세상,2022-03-26 16:50:52+09:00,1,0,광고 안보는 유료? 뭔 이런 경우? 역시 그냥 돈버는 기업 막 풀어서 너도나도 쓰면 돈내야하는..,ios
YouTube,iiivzff,2022-03-26 15:34:18+09:00,3,0,영상 중간중간 자꾸 버퍼링이 걸리네요. 개선 부탁드립니다.,ios
